Date /Time,Salinity (g/Kg),Conductivity (µS/cm),Temperature (deg C),Total Dissolved Salts – KCl (ppm),Battery (V),Real Time Clock (sec),Solar Panel (V)
2021-09-22T19:16:49+10:00,25.98,40644,16.54,26504,4.17,26699035,0
2021-09-22T19:46:15+10:00,26.65,41584,16.4,27117,4.17,26700801,0
2021-09-22T20:00:49+10:00,27.16,42307,16.13,27588,4.17,26701675,0.01
2021-09-22T20:31:00+10:00,27.83,43236,16.17,28194,4.19,26703486,0
2021-09-22T20:46:21+10:00,28.3,43898,15.99,28626,4.17,26704407,0.02
2021-09-22T21:01:02+10:00,28.52,44197,16.13,28821,4.17,26705288,0
2021-09-22T21:30:48+10:00,29.17,45096,16.08,29407,4.17,26707074,0
2021-09-22T21:46:01+10:00,29.42,45451,16.08,29638,4.17,26707987,0.01
2021-09-22T22:00:41+10:00,29.64,45754,16.06,29836,4.17,26708867,0
2021-09-22T22:15:21+10:00,29.87,46073,15.95,30044,4.17,26709747,0
2021-09-22T22:29:59+10:00,29.99,46236,15.95,30150,4.17,26710625,0
2021-09-22T22:44:47+10:00,30.03,46292,16.05,30187,4.17,26711513,0.01
2021-09-22T23:00:10+10:00,30.07,46341,16.12,30218,4.17,26712430,0.01
2021-09-22T23:14:51+10:00,30.09,46371,16.19,30238,4.17,26713317,0
2021-09-22T23:29:42+10:00,30.2,46527,16.13,30340,4.17,26714208,0.01
2021-09-22T23:44:34+10:00,30.2,46532,16.09,30343,4.17,26715100,0.01
2021-09-22T23:59:32+10:00,30.09,46379,16.14,30243,4.17,26715998,0.01
